species_code,species_name
123,Red-Tailed Hawk
60,Golden Eagle
125,Rough-Legged Hawk
241,Northern Harrier
487,Bald Eagle
410,American Kestrel
406,Prairie Falcon
129,Buteo (Unknown)
128,Ferruginous Hawk
1268,Raptor (Unknown)
1,Coopers Hawk
490,Hawk (Unknown)
106,Great Horned Owl
1308,Eagle (Unknown)
407,Peregrine Falcon
3,Sharp-Shinned Hawk
130,Swainsons Hawk
405,Merlin
126,Red-Shouldered Hawk
1291,Accipiter (Unknown)
409,Falcon (Unknown)
2,Northern Goshawk
1188,Barn Owl
745,Osprey
181,Turkey Vulture
71,Short-Eared Owl
77,Burrowing Owl
737,Owl (Unknown)
470,Northern Pygmy-Owl
368,Black-Shoulder Kite
127,Broad-Winged Hawk
482,California Condor
1103,California Spotted Owl
131,Common Black-Hawk
621,Elf Owl
733,Flammulated Owl
1102,Great Gray Owl
408,Gyrfalcon
124,Harlans Hawk
746,Harriss Hawk
72,Long-Eared Owl
517,Mississippi Kite
9,Northern Saw-Whet Owl
694,Snowy Owl
604,Western Screech-Owl
367,White-Tailed Kite
122,Zone-Tailed Hawk
